longitude,latitude,time
42.458526,-76.386482,14:42:50
42.458533,-76.386307,14:42:57
42.458533,-76.386286,14:42:58
42.458541,-76.386152,14:43:03
42.458543,-76.386043,14:43:07
42.458541,-76.386013,14:43:08
42.45854,-76.385982,14:43:09
42.458546,-76.385886,14:43:12
42.458546,-76.38579,14:43:15
42.458547,-76.385729,14:43:17
42.458545,-76.385566,14:43:23
42.458548,-76.385536,14:43:24
42.458554,-76.385439,14:43:27
42.458556,-76.385378,14:43:29
42.458555,-76.385288,14:43:32
42.458544,-76.385102,14:43:38
42.458541,-76.384985,14:43:42
42.458544,-76.384775,14:43:49
42.458545,-76.384742,14:43:50
42.458554,-76.384591,14:43:55
42.45854,-76.384511,14:43:58
42.458527,-76.384485,14:44:02
42.458527,-76.384485,14:44:03
42.458558,-76.384458,14:49:37
42.458558,-76.384458,14:49:38
42.458566,-76.384427,14:49:41
42.458565,-76.384259,14:49:47
42.458565,-76.384242,14:49:52
42.458577,-76.384124,14:49:58
42.458576,-76.383994,14:50:01
42.458582,-76.383874,14:50:03
42.458585,-76.383823,14:50:04
42.4586,-76.383446,14:50:09
42.458606,-76.383354,14:50:10
42.45861,-76.383239,14:50:11
42.45862,-76.383055,14:50:13
42.458623,-76.382808,14:50:15
